ID,Site,Year,Month,Day,UTCmonth,UTCday,Hour,Minute,Duration,Z1,Z2,Cal,Big,FFD,Z0C,Storm,FFD
KPUX,KPUX,2022,6,7,6,7,21,0,1.5,45,50,-0.00408746,300,180,3500,0,190
KRLX,KRLX,2022,6,8,6,8,23,0,1.5,45,50,-0.063212131,300,180,3500,0,180
KOAX,KOAX,2022,6,11,6,11,23,0,1.5,45,50,-0.098198288,300,180,3500,2,230
KMKX,KMKX,2022,6,13,6,13,20,0,1.5,45,50,-0.408248268,300,180,3500,1,150
KUEX,KUEX,2022,6,15,6,15,3,0,1.5,45,50,-0.059701956,300,180,3500,3,150
KBIS,KBIS,2022,7,21,7,21,21,0,1.5,45,50,-0.240195939,300,180,3500,0,200
KPBZ,KPBZ,2022,8,1,8,1,23,0,1.5,38,43,0.11317548,300,180,3500,-99,230
KPOE,KPOE,2022,11,29,11,29,22,0,1.5,45,50,0.074236947,300,180,3500,0,170
KDGX,KDGX,2022,11,30,11,30,4,0,1.5,45,50,-0.437253964,300,180,3500,1,190
KSHV,KSHV,2022,12,13,12,13,22,0,1.5,42,47,-0.040221405,300,180,3500,-99,140
KLIX,KLIX,2022,12,14,12,14,19,0,1.5,38,43,-0.212046027,300,180,3500,-99,150
KTLH,KTLH,2022,12,15,12,15,3,0,1.5,38,43,-0.05687387,300,180,3500,-99,150
KUEX,KUEX,2020,8,14,8,14,23,0,1.5,45,50,-0.28904225,300,180,3500,0,220
KAMA,KAMA,2020,9,1,9,1,23,0,1.5,45,50,-0.358024549,300,180,3500,0,160
KCLE,KCLE,2014,9,10,9,10,21,0,1.5,38,43,-0.001075841,300,180,3500,-99,190
KTLX,KTLX,2015,5,6,5,6,22,0,1.5,45,50,-0.531837634,300,180,3500,0,180
KAMA,KAMA,2016,6,14,6,14,0,0,1.5,45,50,-0.116613284,300,180,3500,2,180
KFDR,KFDR,2017,10,21,10,21,23,0,1.5,45,50,0.011290247,300,180,3500,2,160
KUDX,KUDX,2015,6,20,6,20,3,0,1.5,45,50,-0.369635266,300,180,3500,1,170
KUEX,KUEX,2022,7,26,7,26,23,0,1.5,45,50,-0.054107752,300,180,3500,7,180
KILX,KILX,2023,1,3,1,3,23,0,1.5,38,43,0.146952468,300,180,3500,-99,150
KSRX,KSRX,2023,1,12,1,12,3,0,1.5,45,50,-0.179952079,300,180,3500,0,160
KEOX,KEOX,2023,1,12,1,12,22,0,1.5,45,50,0.041183035,300,180,3500,1,150
